INECode,IdescatCode,Municipality,brand,province,x,y,beds,beds_by_apartment,Population,Income_Household,Income_Person,Perc_Foreing,Perc_Older65,Rental2020,Rental2019,Rental2018,Rental2017,Rental2016,Rental2015,rental_incr,Perc_TuristicHouseholds_INE,TuristicHousehold,SUP_MUNI,ORSUP_MUNI,airbnb,total_homesCat2011,DataHippo_numAirbnb_10m,perc_AirbnbOk
8223,082233,Sant Llorenç Savall,Costa Barcelona,Barcelona,355337.153520546,4671008.88768135,26.00,8.67,2417.00,31169.00,12136.00,8.36,20.70,498.25,432.67,454.54,400.47,356.31,362.00,37.64,0.22,3.00,"41,11",B,9,923,13,1.41
8227,082270,Sant Martí Sarroca,Costa Barcelona,Barcelona,372757.425059528,4583907.52998644,61.00,7.63,3261.00,32784.00,11927.00,10.33,18.70,581.61,538.96,523.07,480.43,436.26,425.66,36.64,0.63,8.00,"35,18",B,17,1178,33,2.80
8231,082310,Sant Pere de Ribes,Costa Barcelona,Barcelona,395984.45377817,4566487.25844746,1.399.00,07.07,31111.00,32766.00,11918.00,19.76,14.50,763.94,758.70,702.77,660.32,604.72,567.60,34.59,1.45,198.00,"40,79",B,319,11051,443,04.01
8232,082325,Sant Pere de Riudebitlles,Costa Barcelona,Barcelona,355337.153520546,4624554.83024407,0.00,,2380.00,32240.00,12443.00,6.76,22.20,545.17,533.88,494.03,436.60,417.21,348.04,56.64,0,0.00,"5,37",B,2,925,2,0.22
8234,082346,Sant Pere de Vilamajor,Costa Barcelona,Barcelona,448245.268395114,4618748.07306441,141.00,7.83,4544.00,36157.00,13133.00,08.01,14.70,859.57,835.92,802.88,709.75,761.30,641.25,34.05,0.81,18.00,"34,73",B,24,1564,42,2.69
8235,082359,Sant Pol de Mar,Costa Barcelona,Barcelona,465665.539934096,4607134.55870509,739.00,6.72,5428.00,36882.00,15194.00,16.64,21.10,765.73,724.68,697.42,651.52,583.45,569.02,34.57,2.98,110.00,"7,5",B,120,1986,246,12.39
8236,082362,Sant Quintí de Mediona,Costa Barcelona,Barcelona,372757.425059528,4607134.55870509,6.00,6.00,2317.00,28460.00,10747.00,16.31,18.70,438.50,440.51,393.00,382.18,310.63,331.68,32.21,0.08,1.00,"13,84",B,4,841,6,0.71
8238,082384,Sant Quirze del Vallès,Costa Barcelona,Barcelona,390177.696598509,4624554.83024407,31.00,3.44,20195.00,52502.00,18191.00,7.86,12.80,902.31,823.83,782.93,740.91,737.98,703.04,28.34,0.12,9.00,"14,06",B,16,6809,19,0.28
8240,082401,Sant Sadurní d'Anoia,Costa Barcelona,Barcelona,395984.45377817,4589714.2871661,47.00,6.71,12841.00,36700.00,13596.00,10.91,16.40,592.25,578.07,522.59,502.16,454.68,448.56,32.03,0.13,7.00,"18,94",B,9,4782,10,0.21
8264,082649,Sant Vicenç de Montalt,Costa Barcelona,Barcelona,436631.754035793,4618748.07306441,634.00,7.20,6452.00,51112.00,17918.00,14.07,15.90,1472.56,1514.68,1251.57,1213.69,1148.23,1049.36,40.33,2.48,88.00,"8,06",B,101,2079,196,9.43
